B001,The Wind-Up Bird Chronicle,9780375718946,Haruki Murakami,Fiction,10,Japanese
B002,The Master and Margarita,9780143108276,Mikhail Bulgakov,Fiction,8,Russian
B003,One Hundred Years of Solitude,9780060883287,Gabriel García Márquez,Non-Fiction,12,Spanish
B004,Beloved,9780375402739,Toni Morrison,Fiction,15,English
B005,American Psycho,9780679735779,Bret Easton Ellis,Non-Fiction,6,English
B006,A Tale of Two Cities,9780141439600,Charles Dickens,Fiction,20,English
B007,Life of Pi,9780156027328,Yann Martel,Fiction,18,English
B008,Sapiens,9780062316097,Yuval Noah Harari,Non-Fiction,12,English
B009,Moby Dick,9780142437247,Herman Melville,Fiction,30,English
B010,Les Misérables,9780449300022,Victor Hugo,Fiction,22,French
